title,original_title,budget,genres,original_language,spoken_languages,homepage,overview,popularity,runtime,revenue,release_date,vote_average,vote_count,production_countries,web_url,snippet,source,keywords,pub_date,word_count,headline.main,headline.kicker,headline.content_kicker,headline.print_headline,headline.name,headline.seo,headline.sub,byline.original,byline.organization
All the Bright Places,All the Bright Places,0,"Romance, Drama",en,English,https://www.netflix.com/title/80208802,Two teens facing personal struggles form a powerful bond as they embark on a cathartic journey chronicling the wonders of Indiana.,32.676,108,0,2020-02-28,7.651,2816,United States of America,https://www.nytimes.com/2020/02/28/movies/all-the-bright-places-review.html,Elle Fanning and Justice Smith breathe life into a film about mental illness and the healing power of love.,The New York Times,"[{'name': 'subject', 'value': 'Movies', 'rank': 1, 'major': 'N'}, {'name': 'creative_works', 'value': 'All the Bright Places (Movie)', 'rank': 2, 'major': 'N'}, {'name': 'persons', 'value': 'Haley, Brett', 'rank': 3, 'major': 'N'}, {'name': 'persons', 'value': 'Fanning, Elle', 'rank': 4, 'major': 'N'}, {'name': 'persons', 'value': 'Smith, Justice (1995- )', 'rank': 5, 'major': 'N'}, {'name': 'organizations', 'value': 'Netflix Inc', 'rank': 6, 'major': 'N'}]",2020-02-28T08:01:07+0000,233,‘All the Bright Places’ Review: Love Amid Trauma,Streaming Movie Review,None,A Refreshing Exploration of Mental Illness,None,None,None,By Candice Frederick,None
The Photograph,The Photograph,16000000,"Drama, Romance",en,English,https://www.thephotographmovie.com/,"When famed photographer Christina Eames dies unexpectedly, she leaves her estranged daughter, Mae, hurt, angry and full of questions. When Mae finds a photograph tucked away in a safe-deposit box, she soon finds herself delving into her mother's early life -- an investigation that leads to an unexpected romance with a rising journalist.",25.253,106,20690779,2020-02-14,6.409,203,"Canada, United States of America",https://www.nytimes.com/2020/02/13/movies/the-photograph-review.html,Issa Rae and a terrific Lakeith Stanfield play a New York couple whose romance sends them and the story into the past.,The New York Times,"[{'name': 'subject', 'value': 'Movies', 'rank': 1, 'major': 'N'}, {'name': 'creative_works', 'value': 'The Photograph (Movie)', 'rank': 2, 'major': 'N'}, {'name': 'persons', 'value': 'Meghie, Stella', 'rank': 3, 'major': 'N'}, {'name': 'persons', 'value': 'Rae, Issa', 'rank': 4, 'major': 'N'}, {'name': 'persons', 'value': 'Stanfield, Lakeith', 'rank': 5, 'major': 'N'}]",2020-02-13T20:54:33+0000,862,‘The Photograph’ Review: An Unabashedly Old-School Love Story,None,None,An Unabashedly Old-School Love Story,None,None,None,By Manohla Dargis,None
Ordinary Love,Ordinary Love,0,"Drama, Romance",en,English,https://bleeckerstreetmedia.com/ordinary-love-film,An extraordinary look at the lives of a middle-aged couple in the midst of the wife's breast cancer diagnosis.,23.417,92,0,2019-12-06,6.877,134,"Ireland, United Kingdom",https://www.nytimes.com/2020/02/12/movies/ordinary-love-review.html,Lesley Manville and Liam Neeson play a married couple facing a cancer diagnosis.,The New York Times,"[{'name': 'subject', 'value': 'Movies', 'rank': 1, 'major': 'N'}, {'name': 'creative_works', 'value': 'Ordinary Love (Movie)', 'rank': 2, 'major': 'N'}, {'name': 'persons', 'value': 'Neeson, Liam', 'rank': 3, 'major': 'N'}, {'name': 'persons', 'value': 'Manville, Lesley', 'rank': 4, 'major': 'N'}, {'name': 'persons', 'value': ""D'Sa, Lisa Barros"", 'rank': 5, 'major': 'N'}, {'name': 'persons', 'value': 'Leyburn, Glenn', 'rank': 6, 'major': 'N'}]",2020-02-12T19:46:45+0000,569,‘Ordinary Love’ Review: In Sickness and in Health,None,None,Old-Sweater Lives,None,None,None,By A.O. Scott,None
To All the Boys: P.S. I Still Love You,To All the Boys: P.S. I Still Love You,0,"Romance, Comedy",en,English,https://www.netflix.com/title/81030842,Lara Jean and Peter have just taken their romance from pretend to officially real when another recipient of one of her love letters enters the picture.,34.938,102,0,2020-02-03,6.848,2492,United States of America,https://www.nytimes.com/2020/02/11/movies/to-all-the-boys-ps-i-still-love-you-review.html,The second installment in Netflix’s ’80s-style teen romance trilogy asks the question John Hughes left unanswered.,The New York Times,"[{'name': 'subject', 'value': 'Movies', 'rank': 1, 'major': 'N'}, {'name': 'persons', 'value': 'Condor, Lana', 'rank': 2, 'major': 'N'}, {'name': 'persons', 'value': 'Centineo, Noah', 'rank': 3, 'major': 'N'}, {'name': 'creative_works', 'value': 'To All the Boys: PS I Still Love You (Movie)', 'rank': 4, 'major': 'N'}, {'name': 'persons', 'value': 'Fimognari, Michael', 'rank': 5, 'major': 'N'}]",2020-02-11T18:33:41+0000,654,"‘To All the Boys: P.S. I Still Love You’ Review: Bliss, for Now",Streaming Movie Review,None,"Follow Your Bliss While It Lasts, Kids",None,None,None,By Amy Nicholson,None
The Woman Who Loves Giraffes,The Woman Who Loves Giraffes,0,Documentary,en,,,"Dr. Anne Innis Dagg re-traces the steps of her groundbreaking 1956 journey to South Africa to study giraffes in the wild. Now, at 85 years old, Anne sees a startling contrast between the world of giraffes she once knew and the one it has become. Weaving through the past and present, her harrowing journey gives us an intimate look into the factors that destroyed her career and the forces that brought her back.",2.964,81,0,2018-10-03,6.7,16,"Canada, South Africa, United States of America",https://www.nytimes.com/2020/01/09/movies/the-woman-who-loves-giraffes-review.html,"This warm documentary uses one woman’s singular passion to fuel a tale of zoological discovery, blatant sexism and environmental alarm.",The New York Times,"[{'name': 'subject', 'value': 'Documentary Films and Programs', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Giraffes', 'rank': 2, 'major': 'N'}, {'name': 'creative_works', 'value': 'The Woman Who Loves Giraffes (Movie)', 'rank': 3, 'major': 'N'}, {'name': 'persons', 'value': 'Dagg, Anne Innis', 'rank': 4, 'major': 'N'}, {'name': 'persons', 'value': 'Reid, Alison (Filmmaker)', 'rank': 5, 'major': 'N'}]",2020-01-09T12:00:04+0000,279,‘The Woman Who Loves Giraffes’ Review: Crackers for Animals,None,None,A Special Spot  In Her Heart,None,None,None,By Jeannette Catsoulis,None
Marriage Story,Marriage Story,18000000,Drama,en,English,https://www.marriagestorymovie.com,"A stage director and an actress struggle through a grueling, coast-to-coast divorce that pushes them to their personal extremes.",48.637,137,2300000,2019-09-28,7.743,6799,United Kingdom,https://www.nytimes.com/2019/11/05/movies/marriage-story-review.html,"Adam Driver and Scarlett Johansson self-consciously uncouple in Noah Baumbach’s tender, stinging tale of divorce.",The New York Times,"[{'name': 'subject', 'value': 'Movies', 'rank': 1, 'major': 'N'}, {'name': 'persons', 'value': 'Baumbach, Noah', 'rank': 2, 'major': 'N'}, {'name': 'creative_works', 'value': 'Marriage Story (Movie)', 'rank': 3, 'major': 'N'}, {'name': 'persons', 'value': 'Driver, Adam', 'rank': 4, 'major': 'N'}, {'name': 'persons', 'value': 'Johansson, Scarlett', 'rank': 5, 'major': 'N'}, {'name': 'persons', 'value': 'ALDA, ALAN', 'rank': 6, 'major': 'N'}, {'name': 'persons', 'value': 'Dern, Laura', 'rank': 7, 'major': 'N'}, {'name': 'persons', 'value': 'Liotta, Ray', 'rank': 8, 'major': 'N'}]",2019-11-05T19:01:02+0000,1244,‘Marriage Story’ Review: Dance Me to the End of Love,critic’s pick,None,"Friendly Split, Shattering Break",None,None,None,By A.O. Scott,None
"Cyrano, My Love",Edmond,9208475,"Comedy, History",fr,"French, Russian",http://roadsideattractions.com/filmography/cyranomylove,"Paris, France, December 1897. The young playwright Edmond Rostand feels like a failure. Inspiration has abandoned him. Married and father of two children, desperate and penniless, he persuades the great actor Constant Coquelin to perform the main role in his new play. But there is a problem: Coquelin wants to premiere it at Christmas and Edmond has not written a single word.",13.429,113,0,2018-11-10,7.501,488,"Belgium, France",https://www.nytimes.com/2019/10/17/movies/cyrano-my-love-review.html,This superficial take on the writing and initial staging of “Cyrano de Bergerac” is a whirlwind of soapy declarations and backstage chaos.,The New York Times,"[{'name': 'subject', 'value': 'Movies', 'rank': 1, 'major': 'N'}, {'name': 'creative_works', 'value': 'Cyrano, My Love (Movie)', 'rank': 2, 'major': 'N'}, {'name': 'persons', 'value': 'Michalik, Alexis', 'rank': 3, 'major': 'N'}]",2019-10-17T11:00:03+0000,291,"‘Cyrano, My Love’ Review: A Nose for Romance",None,None,"Cyrano, My Love",None,None,None,By Jeannette Catsoulis,None
Pretenders,Pretenders,0,Drama,en,English,,"A love triangle involving a photographer, a director and an actress.",10.716,95,0,2019-09-27,5.6,13,United States of America,https://www.nytimes.com/2019/10/03/movies/pretenders-review.html,"Directed by James Franco and featuring James Franco, this film indulges in a distasteful brand of nostalgia.",The New York Times,"[{'name': 'subject', 'value': 'Movies', 'rank': 1, 'major': 'N'}, {'name': 'persons', 'value': 'Franco, James', 'rank': 2, 'major': 'N'}, {'name': 'creative_works', 'value': 'Pretenders (Movie)', 'rank': 3, 'major': 'N'}]",2019-10-03T11:00:07+0000,276,"‘Pretenders’ Review: A Little New Wave Love, a Lot of Misogyny",None,None,Pretenders,None,None,None,By Glenn Kenny,None
First Love,初恋,0,"Crime, Action, Comedy",ja,"Mandarin, Japanese",,"Set over one night in Tokyo, we follow Leo, a young boxer down on his luck as he meets his ‘first love’ Monica, a call-girl and an addict but still innocent. But, little does Leo know, Monica is unwittingly caught up in a drug-smuggling scheme, and the two are pursued through the night by a corrupt cop, a yakuza, his nemesis, and a female assassin sent by the Chinese Triads. All their fates intertwine in spectacular Miike style, at his most fun and anarchic.",19.601,108,0,2019-05-31,6.69,292,"Japan, United Kingdom",https://www.nytimes.com/2019/09/26/movies/first-love-review.html,The prolific director Takashi Miike delivers an unusually satisfying Japanese genre romp.,The New York Times,"[{'name': 'subject', 'value': 'Movies', 'rank': 1, 'major': 'N'}, {'name': 'persons', 'value': 'Miike, Takashi', 'rank': 2, 'major': 'N'}, {'name': 'creative_works', 'value': 'First Love (Movie)', 'rank': 3, 'major': 'N'}]",2019-09-26T11:00:06+0000,398,‘First Love’ Review: Eluding Assassins With the Help of a Boxer,Critic’s Pick,None,"Assassin Variations, by Way of Japan",None,None,None,By Glenn Kenny,None
Loro,Loro,0,Drama,it,Italian,,"Internationally released Director's Cut of ""Loro 1"" and ""Loro 2"", which were released separately as two movies in Italy. The film talks about the group of businessmen and politicians – the Loro (Them) from the title – who live and act near to media tycoon and politician Silvio Berlusconi in the years between 2006 and 2009.",11.997,157,0,2018-09-13,6.711,282,"France, Italy",https://www.nytimes.com/2019/09/19/movies/loro-review.html,Toni Servillo plays the former Italian Prime Minister Silvio Berlusconi in Paolo Sorrentino’s extravagant portrait.,The New York Times,"[{'name': 'subject', 'value': 'Movies', 'rank': 1, 'major': 'N'}, {'name': 'creative_works', 'value': 'Loro (Movie)', 'rank': 2, 'major': 'N'}, {'name': 'persons', 'value': 'Servillo, Toni', 'rank': 3, 'major': 'N'}, {'name': 'persons', 'value': 'Sorrentino, Paolo', 'rank': 4, 'major': 'N'}, {'name': 'persons', 'value': 'Berlusconi, Silvio', 'rank': 5, 'major': 'N'}, {'name': 'glocations', 'value': 'Italy', 'rank': 6, 'major': 'N'}]",2019-09-19T17:27:07+0000,820,"‘Loro’ Review: A Corrupt Leader, and the People Who Love Him",None,None,Corruption and Charisma Personified,None,None,None,By A.O. Scott,None
