title,original_title,budget,genres,original_language,spoken_languages,homepage,overview,popularity,runtime,revenue,release_date,vote_average,vote_count,production_countries,web_url,snippet,source,keywords,pub_date,word_count,headline.main,headline.kicker,headline.content_kicker,headline.print_headline,headline.name,headline.seo,headline.sub,byline.original,byline.organization
Falling Inn Love,Falling Inn Love,0,"Romance, Comedy",en,English,https://www.netflix.com/title/80999781,"When a San Francisco exec wins a New Zealand inn, she ditches city life to remodel and flip the rustic property with help from a handsome contractor.",16.742,98,0,2019-08-29,6.52,1134,United States of America,https://www.nytimes.com/2019/08/29/movies/falling-inn-love-review.html,"It’s hard to find a reliable, talented, reasonably priced, eco-friendly contractor these days.",The New York Times,"[{'name': 'subject', 'value': 'Movies', 'rank': 1, 'major': 'N'}, {'name': 'organizations', 'value': 'Netflix Inc', 'rank': 2, 'major': 'N'}, {'name': 'persons', 'value': 'Kumble, Roger', 'rank': 3, 'major': 'N'}, {'name': 'persons', 'value': 'Milian, Christina', 'rank': 4, 'major': 'N'}, {'name': 'persons', 'value': 'Demos, Adam', 'rank': 5, 'major': 'N'}, {'name': 'creative_works', 'value': 'Falling Inn Love (Movie)', 'rank': 6, 'major': 'N'}]",2019-08-29T14:56:44+0000,374,‘Falling Inn Love’ Review: A Prize That Needs Some Work,Streaming Movie Review,None,A Fine Romance to Watch While Sorting Socks,None,None,None,By Helen T. Verongos,None
Hot Air,Hot Air,0,Drama,en,English,,A right-wing talk show host's life takes a sudden turn when his 16-year-old niece comes crashing into his life.,12.977,99,0,2018-04-10,5.184,19,United States of America,https://www.nytimes.com/2019/08/22/movies/hot-air-review.html,Steve Coogan stars in this cumbersome political comedy.,The New York Times,"[{'name': 'subject', 'value': 'Movies', 'rank': 1, 'major': 'N'}, {'name': 'persons', 'value': 'Coogan, Steve', 'rank': 2, 'major': 'N'}, {'name': 'persons', 'value': 'Coraci, Frank', 'rank': 3, 'major': 'N'}, {'name': 'creative_works', 'value': 'Hot Air (Movie)', 'rank': 4, 'major': 'N'}, {'name': 'persons', 'value': 'Campbell, Neve', 'rank': 5, 'major': 'N'}]",2019-08-22T15:50:09+0000,266,‘Hot Air’ Review: A Right-Wing Radio Host Learns to Love Again,None,None,Hot Air,None,None,None,By Bilge Ebiri,None
The Tomorrow Man,The Tomorrow Man,0,"Drama, Romance",en,English,https://bleeckerstreetmedia.com/thetomorrowman,"Ed Hemsler spends his life preparing for a disaster that may never come. Ronnie Meisner spends her life shopping for things she may never use. In a small town somewhere in America, these two people will try to find love while trying not to get lost in each other’s stuff.",15.96,94,0,2019-05-22,5.746,59,United States of America,https://www.nytimes.com/2019/05/21/movies/the-tomorrow-man-review.html,Blythe Danner and John Lithgow strain to elevate this twee late-life romance.,The New York Times,"[{'name': 'subject', 'value': 'Movies', 'rank': 1, 'major': 'N'}, {'name': 'creative_works', 'value': 'The Tomorrow Man (Movie)', 'rank': 2, 'major': 'N'}, {'name': 'persons', 'value': 'Danner, Blythe', 'rank': 3, 'major': 'N'}, {'name': 'persons', 'value': 'Lithgow, John', 'rank': 4, 'major': 'N'}, {'name': 'persons', 'value': 'Jones, Noble', 'rank': 5, 'major': 'N'}]",2019-05-21T11:00:01+0000,280,‘The Tomorrow Man’ Review: Love Among the Neuroses,None,None,"They Whirl, They Twirl, They Tango",None,None,None,By Jeannette Catsoulis,None
Asako I & II,寝ても覚めても,0,"Drama, Romance",ja,"Japanese, English",http://www.netemosametemo.jp/,"College student Asako falls in love at first sight with Baku after meeting at a photography exhibit. Romance sparks between the two but doesn't last long when Baku suddenly disappears from her life. Two years later, she spots a man that bears a striking resemblance to him. Even though it is only his physical similarities to Baku that attracted her to him, she doesn't say so and starts dating the soft-spoken young man called Ryohei.",15.461,119,0,2018-09-01,6.799,169,Japan,https://www.nytimes.com/2019/05/16/movies/asako-i-and-ii-review.html,The Japanese director Ryusuke Hamaguchi follows up his marathon “Happy Hour” with a story of love among young urbanites.,The New York Times,"[{'name': 'subject', 'value': 'Movies', 'rank': 1, 'major': 'N'}, {'name': 'creative_works', 'value': 'Asako I & II (Movie)', 'rank': 2, 'major': 'N'}, {'name': 'persons', 'value': 'Hamaguchi, Ryusuke', 'rank': 3, 'major': 'N'}]",2019-05-16T11:00:01+0000,547,‘Asako I & II’ Review: Double the Love (and the Heartbreak),Critic’s Pick,None,Falling For a Drifter And His Lookalike,None,None,None,By Glenn Kenny,None
The Sun Is Also a Star,The Sun Is Also a Star,9000000,"Romance, Drama",en,English,https://www.thesunisalsoastarmovie.com,"Two young New Yorkers begin to fall in love over the course of a single day, as a series of potentially life-altering meetings loom over their heads - hers concerning her family’s deportation to Jamaica, and his concerning an education at Dartmouth.",21.708,100,6800000,2019-05-16,6.975,570,United States of America,https://www.nytimes.com/2019/05/15/movies/the-sun-is-also-a-star-review.html,"Yara Shahidi and Charles Melton play teenagers falling in love on a hectic, sunny day in New York.",The New York Times,"[{'name': 'subject', 'value': 'Movies', 'rank': 1, 'major': 'N'}, {'name': 'creative_works', 'value': 'The Sun Is also a Star (Movie)', 'rank': 2, 'major': 'N'}, {'name': 'persons', 'value': 'Russo-Young, Ry', 'rank': 3, 'major': 'N'}, {'name': 'persons', 'value': 'Shahidi, Yara (2000- )', 'rank': 4, 'major': 'N'}, {'name': 'persons', 'value': 'Yoon, Nicola (Author)', 'rank': 5, 'major': 'N'}, {'name': 'persons', 'value': 'Melton, Charles (1991- )', 'rank': 6, 'major': 'N'}]",2019-05-15T16:01:27+0000,697,"‘The Sun Is Also a Star’ Review: A Charming, if Generic, Adolescent Love Story",None,None,A Beautiful Day for Young Hearts,None,None,None,By A.O. Scott,None
Shéhérazade,Shéhérazade,0,"Drama, Thriller, Romance",fr,French,,"Zachary, 17 years old, gets out of jail. Rejected by his mother, he hangs out in the mean streets of Marseille. He falls in love with Shéhérazade, a young prostitute of whom he becomes the pimp without realizing it...",9.572,106,0,2018-09-05,7.215,247,France,https://www.nytimes.com/2019/05/10/movies/sheherazade-review.html,The options are few and most of them involve risk or further deprivation for these French teenagers who face the world with little support.,The New York Times,"[{'name': 'subject', 'value': 'Movies', 'rank': 1, 'major': 'N'}, {'name': 'organizations', 'value': 'Netflix Inc', 'rank': 2, 'major': 'N'}, {'name': 'creative_works', 'value': 'Sheherazade (Movie)', 'rank': 3, 'major': 'N'}, {'name': 'persons', 'value': 'Marlin, Jean-Bernard', 'rank': 4, 'major': 'N'}]",2019-05-10T11:00:01+0000,350,‘Shéhérazade’ Review: Love in the Mean Streets of Marseille,Streaming Movie Review,None,None,None,None,None,By Helen T. Verongos,None
Long Shot,Long Shot,40000000,"Comedy, Romance",en,"French, English, Swedish",https://longshot.movie,"Journalist Fred Flarsky reunites with his childhood crush, Charlotte Field, now one of the most influential women in the world. As she prepares to make a run for the Presidency, Charlotte hires Fred as her speechwriter — much to the dismay of her trusted advisers.",31.661,125,0,2019-05-02,6.735,2602,United States of America,https://www.nytimes.com/2019/05/02/movies/long-shot-review.html,The improbably yet perfectly paired stars play old friends who unexpectedly find love in this charming (and a bit vulgar) romantic comedy.,The New York Times,"[{'name': 'subject', 'value': 'Movies', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Comedy and Humor', 'rank': 2, 'major': 'N'}, {'name': 'persons', 'value': 'Odenkirk, Bob', 'rank': 3, 'major': 'N'}, {'name': 'persons', 'value': 'Rogen, Seth', 'rank': 4, 'major': 'N'}, {'name': 'persons', 'value': 'Theron, Charlize', 'rank': 5, 'major': 'N'}, {'name': 'creative_works', 'value': 'Long Shot (Movie)', 'rank': 6, 'major': 'N'}, {'name': 'persons', 'value': 'Levine, Jonathan A (1976- )', 'rank': 7, 'major': 'N'}]",2019-05-02T17:43:25+0000,1025,‘Long Shot’ Review: Charlize Theron and Seth Rogen Give Good Heart,Critic’s Pick,None,Beating the Odds for Love and Bliss,None,None,None,By Manohla Dargis,None
Kalank,कलंक,0,"Drama, Romance",hi,Hindi,,"Set in 1945, in Pre-Independent India, the elite, opulent and solemn world of the Chaudhry family, and the wild, mysterious and musical underbelly of the town, Hira Mandi, clash when Roop Chaudhry encounters Zafar, a daredevil from Hira Mandi, unleashing deep-buried truths, secrets of betrayal and affairs that threaten to bring both worlds crashing down.",14.19,166,0,2019-04-17,5.6,50,India,https://www.nytimes.com/2019/04/19/movies/kalank-review.html,Abhishek Varman’s maximalist melodrama delivers spectacle (some of it mind-numbing) but fails to tell a gripping story.,The New York Times,"[{'name': 'subject', 'value': 'Movies', 'rank': 1, 'major': 'N'}, {'name': 'creative_works', 'value': 'Kalank (Movie)', 'rank': 2, 'major': 'N'}, {'name': 'persons', 'value': 'Varman, Abhishek', 'rank': 3, 'major': 'N'}]",2019-04-19T15:38:08+0000,479,‘Kalank’ Review: A Bollywood Love Story in the Shadow of Partition,None,None,An Extravagant Spectacle,None,None,None,By Rachel Saltz,None
Rafiki,Rafiki,0,"Drama, Romance",sw,"Swahili, English",http://www.mpmfilm.com/rafiki-2/,"Kena and Ziki long for something more. Despite the political rivalry between their families, the girls resist and remain close friends, supporting each other to pursue their dreams in a conservative society. When love blossoms between them, the two girls will be forced to choose between happiness and safety.",12.074,82,181316,2018-09-26,7.029,138,"Kenya, South Africa",https://www.nytimes.com/2019/04/18/movies/rafiki-review.html,The story of a romance between two Kenyan women was shown at Cannes after being banned in Kenya.,The New York Times,"[{'name': 'subject', 'value': 'Movies', 'rank': 1, 'major': 'N'}, {'name': 'persons', 'value': 'Kahiu, Wanuri', 'rank': 2, 'major': 'N'}, {'name': 'creative_works', 'value': 'Rafiki (Movie)', 'rank': 3, 'major': 'N'}, {'name': 'persons', 'value': 'Mugatsia, Samantha', 'rank': 4, 'major': 'N'}, {'name': 'persons', 'value': 'Munyiva, Sheila', 'rank': 5, 'major': 'N'}]",2019-04-18T11:00:06+0000,251,"‘Rafiki’ Review: Falling in Love, Illegally",None,None,Rafiki,None,None,None,By Ben Kenigsberg,None
Diane,Diane,0,"Drama, History, Romance",en,English,,"Asked by Francis I to tutor his son, Diane de Poitiers becomes the future King Henry II's mistress in 1500s France.",7.22,110,0,1956-01-12,5.7,8,United States of America,https://www.nytimes.com/2019/03/28/movies/diane-review.html,"Mary Kay Place is astonishing as a weary widow dealing with guilt, heartache and a diminishing circle of friends.",The New York Times,"[{'name': 'subject', 'value': 'Movies', 'rank': 1, 'major': 'N'}, {'name': 'creative_works', 'value': 'Diane (Movie)', 'rank': 2, 'major': 'N'}, {'name': 'persons', 'value': 'Jones, Kent', 'rank': 3, 'major': 'N'}, {'name': 'persons', 'value': 'Place, Mary Kay', 'rank': 4, 'major': 'N'}, {'name': 'persons', 'value': 'Parsons, Estelle', 'rank': 5, 'major': 'N'}, {'name': 'persons', 'value': 'Martin, Andrea (1947- )', 'rank': 6, 'major': 'N'}]",2019-03-28T11:00:01+0000,511,"‘Diane’ Review: A Vibrant Tale of Love, Sisterhood and Decline",Critic’s Pick,None,"A Vibrant Tale of Love, Sisterhood and Decline",None,None,None,By Jeannette Catsoulis,None
Five Feet Apart,Five Feet Apart,7000000,"Romance, Drama",en,"English, French, Spanish",,"Seventeen-year-old Stella spends most of her time in the hospital as a cystic fibrosis patient. Her life is full of routines, boundaries and self-control — all of which get put to the test when she meets Will, an impossibly charming teen who has the same illness. There's an instant flirtation, though restrictions dictate that they must maintain a safe distance between them. As their connection intensifies, so does the temptation to throw the rules out the window and embrace that attraction.",58.378,116,92600000,2019-03-14,8.267,5490,United States of America,https://www.nytimes.com/2019/03/14/movies/five-feet-apart-review.html,Haley Lu Richardson and Cole Sprouse navigate the rules of attraction and of a hospital in this film about living with cystic fibrosis.,The New York Times,"[{'name': 'subject', 'value': 'Movies', 'rank': 1, 'major': 'N'}, {'name': 'creative_works', 'value': 'Five Feet Apart (Movie)', 'rank': 2, 'major': 'N'}, {'name': 'persons', 'value': 'Baldoni, Justin', 'rank': 3, 'major': 'N'}]",2019-03-14T13:00:07+0000,258,‘Five Feet Apart’ Review: Ailing Teenagers Live Dangerously for Love,None,None,Five Feet Apart,None,None,None,By Ben Kenigsberg,None
Ash Is Purest White,江湖儿女,0,"Crime, Romance, Drama",zh,Mandarin,,"Set in China's underworld, this tale of love and betrayal follows a dancer who fired a gun to protect her mobster boyfriend during a fight. On release from prison 5 years later, she sets out to find him.",16.755,141,0,2018-09-21,6.862,304,"France, Japan, China",https://www.nytimes.com/2019/03/13/movies/ash-is-purest-white-review.html,"In Jia Zhangke’s enthralling new feature, Zhao Tao and Liao Fan portray an underworld power couple at the mercy of time and fate.",The New York Times,"[{'name': 'subject', 'value': 'Movies', 'rank': 1, 'major': 'N'}, {'name': 'persons', 'value': 'Jia Zhang Ke', 'rank': 2, 'major': 'N'}, {'name': 'persons', 'value': 'Liao Fan (1974- )', 'rank': 3, 'major': 'N'}, {'name': 'persons', 'value': 'Zhao Tao (1977- )', 'rank': 4, 'major': 'N'}, {'name': 'creative_works', 'value': 'Ash Is Purest White (Movie)', 'rank': 5, 'major': 'N'}]",2019-03-13T15:44:46+0000,911,‘Ash Is Purest White’ Review: Love Smolders and Crime Pays in a Changing China,Critic’s Pick,None,"Gangsters’ Paradise Lost, in China",None,None,None,By A.O. Scott,None
Gloria Bell,Gloria Bell,0,"Drama, Romance",en,English,https://a24films.com/films/gloria-bell,"Gloria is a free-spirited divorcée who spends her days at a straight-laced office job and her nights on the dance floor, joyfully letting loose at clubs around Los Angeles. After meeting Arnold on a night out, she finds herself thrust into an unexpected new romance, filled with both the joys of budding love and the complications of dating, identity, and family.",28.919,102,11145006,2019-03-07,5.954,307,"Chile, United States of America",https://www.nytimes.com/2019/03/07/movies/gloria-bell-review.html,The Chilean writer-director Sebastián Lelio finds a perfect partner in Moore for this fantastic remake of his 2013 movie “Gloria.”,The New York Times,"[{'name': 'subject', 'value': 'Movies', 'rank': 1, 'major': 'N'}, {'name': 'creative_works', 'value': 'Gloria Bell (Movie)', 'rank': 2, 'major': 'N'}, {'name': 'persons', 'value': 'Moore, Julianne', 'rank': 3, 'major': 'N'}, {'name': 'persons', 'value': 'Turturro, John', 'rank': 4, 'major': 'N'}, {'name': 'persons', 'value': 'Lelio, Sebastian', 'rank': 5, 'major': 'N'}]",2019-03-07T18:49:47+0000,991,‘Gloria Bell’ Review: Love Is in the Air for a Transcendent Julianne Moore,Critic’s Pick,None,"Love, and Some Laughter, Is in the Air",None,None,None,By Manohla Dargis,None
Black Mother,Black Mother,0,Documentary,en,English,https://dogwoof.com/blackmother,"Part film, part baptism, in BLACK MOTHER director Khalik Allah brings us on a spiritual journey through Jamaica. Soaking up its bustling metropolises and tranquil countryside, Allah introduces us to a succession of vividly rendered souls who call this island home. Their candid testimonies create a polyphonic symphony, set against a visual prayer of indelible portraiture. Thoroughly immersed between the sacred and profane, BLACK MOTHER channels rebellion and reverence into a deeply personal ode informed by Jamaica’s turbulent history but existing in the urgent present.",3.371,77,0,2018-11-02,6.6,15,United States of America,https://www.nytimes.com/2019/03/06/movies/black-mother-review.html,"In Khalik Allah’s poetic movie, the most prevalent perspective is not that of a documentarian, but of a filmmaker’s love.",The New York Times,"[{'name': 'subject', 'value': 'Documentary Films and Programs', 'rank': 1, 'major': 'N'}, {'name': 'persons', 'value': 'Allah, Khalik (1985- )', 'rank': 2, 'major': 'N'}, {'name': 'creative_works', 'value': 'Black Mother (Movie)', 'rank': 3, 'major': 'N'}]",2019-03-06T18:30:16+0000,380,‘Black Mother’ Review: Exploring the Roots of Life Itself,Critic’s Pick,None,"Exploring the Roots of Life Itself, With Love",None,None,None,By Glenn Kenny,None
How to Train Your Dragon: The Hidden World,How to Train Your Dragon: The Hidden World,129000000,"Animation, Family, Adventure",en,English,https://www.howtotrainyourdragon.com/,"As Hiccup fulfills his dream of creating a peaceful dragon utopia, Toothless’ discovery of an untamed, elusive mate draws the Night Fury away. When danger mounts at home and Hiccup’s reign as village chief is tested, both dragon and rider must make impossible decisions to save their kind.",100.574,104,524580592,2019-01-03,7.752,6215,United States of America,https://www.nytimes.com/2019/02/20/movies/how-to-train-your-dragon-hidden-world-review.html,The third in this franchise concerns the exigencies that poor Hiccup must face as the leader of Berk.,The New York Times,"[{'name': 'subject', 'value': 'Movies', 'rank': 1, 'major': 'N'}, {'name': 'persons', 'value': 'DeBlois, Dean', 'rank': 2, 'major': 'N'}, {'name': 'persons', 'value': 'Baruchel, Jay', 'rank': 3, 'major': 'N'}, {'name': 'persons', 'value': 'ABRAHAM, F MURRAY', 'rank': 4, 'major': 'N'}, {'name': 'persons', 'value': 'Ferrera, America', 'rank': 5, 'major': 'N'}, {'name': 'creative_works', 'value': 'How to Train Your Dragon: The Hidden World (Movie)', 'rank': 6, 'major': 'N'}]",2019-02-21T00:02:36+0000,531,‘How to Train Your Dragon: The Hidden World’ Review: A Series Scales Up,None,None,Love Takes Wing Amid Trouble in Utopia,None,None,None,By Ben Kenigsberg,None
Sorry Angel,"Plaire, aimer et courir vite",0,"Comedy, Drama, Romance",fr,"French, Spanish",,Jacques is a writer living in Paris. He hasn't turned 40 but already mistrusts that the best in life is yet to come. Arthur is a student living in Brittany. He reads and smiles a lot and refuses to think that everything in life might not be possible. Jacques and Arthur will like each other. Just like in a lovely dream. Just like in a sad story.,22.982,132,1631910,2018-05-09,6.86,214,France,https://www.nytimes.com/2019/02/12/movies/sorry-angel-review.html,"Set in early 1990s Paris, Christophe Honoré’s new film presents us with a middle-aged, H.I.V.-stricken writer falling, wearily, for a bookish 20-something.",The New York Times,"[{'name': 'subject', 'value': 'Movies', 'rank': 1, 'major': 'N'}, {'name': 'creative_works', 'value': 'Sorry Angel (Movie)', 'rank': 2, 'major': 'N'}, {'name': 'persons', 'value': 'Honore, Christophe', 'rank': 3, 'major': 'N'}]",2019-02-12T21:46:52+0000,491,"‘Sorry Angel’ Review: A Love Affair Two Men Start, Knowing the End",Critic’s Pick,None,Attraction: That’s the Easy Part,None,None,None,By Glenn Kenny,None
"Berlin, I Love You","Berlin, I Love You",0,Drama,en,"English, German",,An anthology feature of 10 stories of romance set in the German capital.,14.784,120,160000,2019-02-08,4.6,79,"Germany, United States of America",https://www.nytimes.com/2019/02/07/movies/berlin-i-love-you-review.html,"The once-divided nature of Berlin isn’t given much consideration in this film, part of the Cities of Love series.",The New York Times,"[{'name': 'subject', 'value': 'Movies', 'rank': 1, 'major': 'N'}, {'name': 'creative_works', 'value': 'Berlin, I Love You (Movie)', 'rank': 2, 'major': 'N'}, {'name': 'persons', 'value': 'Agron, Dianna', 'rank': 3, 'major': 'N'}, {'name': 'persons', 'value': 'Knightley, Keira', 'rank': 4, 'major': 'N'}, {'name': 'persons', 'value': 'Luna, Diego', 'rank': 5, 'major': 'N'}, {'name': 'persons', 'value': 'Mirren, Helen', 'rank': 6, 'major': 'N'}, {'name': 'persons', 'value': 'Rourke, Mickey', 'rank': 7, 'major': 'N'}, {'name': 'persons', 'value': 'Wilson, Luke', 'rank': 8, 'major': 'N'}]",2019-02-07T12:00:01+0000,227,"‘Berlin, I Love You’ Review: Many Stories, Not Much Feeling",None,None,"Berlin, I Love You",None,None,None,By Glenn Kenny,None
Untogether,Untogether,0,"Comedy, Drama",en,English,,"Once considered a teen prodigy, a recovering addict sobers up and tries to get her writing career back on track. She begins a relationship with a rising author known for his wartime memoirs.",17.812,98,0,2019-02-08,5.489,44,United States of America,https://www.nytimes.com/2019/02/07/movies/untogether-review.html,Jemima Kirke and Lola Kirke play damaged siblings in this exasperatingly affected romantic drama from Emma Forrest.,The New York Times,"[{'name': 'subject', 'value': 'Movies', 'rank': 1, 'major': 'N'}, {'name': 'persons', 'value': 'Dornan, Jamie', 'rank': 2, 'major': 'N'}, {'name': 'persons', 'value': 'Kirke, Jemima', 'rank': 3, 'major': 'N'}, {'name': 'persons', 'value': 'Kirke, Lola', 'rank': 4, 'major': 'N'}, {'name': 'creative_works', 'value': 'Untogether (Movie)', 'rank': 5, 'major': 'N'}, {'name': 'persons', 'value': 'Forrest, Emma', 'rank': 6, 'major': 'N'}]",2019-02-07T12:00:01+0000,269,"‘Untogether’ Review: Adrift in Los Angeles, Looking for Love",None,None,Untogether,None,None,None,By Jeannette Catsoulis,None
Cold War,Zimna wojna,4954500,"Drama, Romance, War, Music",pl,"German, Croatian, French, Italian, Polish, Russian",https://www.curzonartificialeye.com/cold-war,"A man and a woman meet in the ruins of post-war Poland. With vastly different backgrounds and temperaments, they are fatally mismatched and yet drawn to each other.",26.73,88,18754051,2018-06-08,7.454,1437,"France, Poland, United Kingdom",https://www.nytimes.com/2018/12/20/movies/cold-war-review.html,"In post-World War II Poland, a singer and a piano player find each other, fall in love and soon end up on opposite sides of history.",The New York Times,"[{'name': 'subject', 'value': 'Movies', 'rank': 1, 'major': 'N'}, {'name': 'creative_works', 'value': 'Cold War (Movie)', 'rank': 2, 'major': 'N'}, {'name': 'persons', 'value': 'Pawlikowski, Pawel', 'rank': 3, 'major': 'N'}, {'name': 'persons', 'value': 'Kot, Tomasz', 'rank': 4, 'major': 'N'}, {'name': 'persons', 'value': 'Kulesza, Agata', 'rank': 5, 'major': 'N'}, {'name': 'persons', 'value': 'Szyc, Borys', 'rank': 6, 'major': 'N'}, {'name': 'persons', 'value': 'Kulig, Joanna', 'rank': 7, 'major': 'N'}]",2018-12-20T17:09:56+0000,981,‘Cold War’ Review: Love Without Borders,Critic’s Pick,None,A Resonating Love Shall Guide You,None,None,None,By Manohla Dargis,None
If Beale Street Could Talk,If Beale Street Could Talk,12000000,"Romance, Drama",en,English,http://www.bealestreet.movie,"After her fiance is falsely imprisoned, a pregnant African-American woman sets out to clear his name and prove his innocence.",18.223,120,20572691,2018-12-14,6.946,1095,United States of America,https://www.nytimes.com/2018/12/12/movies/if-beale-street-could-talk-review.html,"The couple in this adaptation of James Baldwin’s novel are loving while black, an existential truth that is turned into a nightmare.",The New York Times,"[{'name': 'subject', 'value': 'Movies', 'rank': 1, 'major': 'N'}, {'name': 'creative_works', 'value': 'If Beale Street Could Talk (Movie)', 'rank': 2, 'major': 'N'}, {'name': 'persons', 'value': 'Jenkins, Barry', 'rank': 3, 'major': 'N'}, {'name': 'persons', 'value': 'Baldwin, James (1924-87)', 'rank': 4, 'major': 'N'}, {'name': 'persons', 'value': 'James, Stephan (1993- )', 'rank': 5, 'major': 'N'}, {'name': 'persons', 'value': 'Layne, KiKi', 'rank': 6, 'major': 'N'}, {'name': 'persons', 'value': 'Wittrock, Finn', 'rank': 7, 'major': 'N'}]",2018-12-12T21:30:02+0000,1057,‘If Beale Street Could Talk’ Review: Trusting Love in a World Ruled by Hate,Critic’s Pick,None,Love Is Forced to Live in a Nightmare,None,None,None,By Manohla Dargis,None
Asher,Asher,0,"Thriller, Action, Drama",en,English,,"Asher is a former Mossad agent turned gun for hire, living an austere life in an ever-changing Brooklyn. Approaching the end of his career, he breaks the oath he took as a young man when he meets Sophie on a hit gone wrong. In order to have love in his life before it's too late, he must kill the man he was, for a chance at becoming the man he wants to be.",29.291,117,0,2018-12-07,5.809,138,United States of America,https://www.nytimes.com/2018/12/06/movies/asher-review.html,Ron Perlman and Famke Janssen star in this film that finds a hired killer dealing with his own mortality.,The New York Times,"[{'name': 'subject', 'value': 'Movies', 'rank': 1, 'major': 'N'}, {'name': 'creative_works', 'value': 'Asher (Movie)', 'rank': 2, 'major': 'N'}, {'name': 'persons', 'value': 'Caton-Jones, Michael', 'rank': 3, 'major': 'N'}, {'name': 'persons', 'value': 'Perlman, Ron', 'rank': 4, 'major': 'N'}, {'name': 'persons', 'value': 'Janssen, Famke', 'rank': 5, 'major': 'N'}]",2018-12-06T12:00:04+0000,259,‘Asher’ Review: An Aging Hit Man Finds Love,None,None,Asher,None,None,None,By Glenn Kenny,None
Sicilian Ghost Story,Sicilian Ghost Story,0,"Mystery, Drama, Fantasy",it,Italian,,"In a little Sicilian village at the edge of a forest, Giuseppe, a boy of 13, vanishes. Luna, his classmate who loves him, refuses to accept his mysterious disappearance. She rebels against the silence and complicity that surround her, and to find him she descends into the dark world which has swallowed him up and which has a lake as its mysterious entrance.",6.164,122,0,2017-11-18,6.6,137,"France, Italy, Switzerland",https://www.nytimes.com/2018/11/29/movies/sicilian-ghost-story-review.html,"Flipping from bucolic to brutal with distressing ease, this beautifully realized movie views a Mafia kidnapping through the prism of first love.",The New York Times,"[{'name': 'subject', 'value': 'Movies', 'rank': 1, 'major': 'N'}, {'name': 'creative_works', 'value': 'Sicilian Ghost Story (Movie)', 'rank': 2, 'major': 'N'}, {'name': 'persons', 'value': 'Grassadonia, Fabio', 'rank': 3, 'major': 'N'}, {'name': 'persons', 'value': 'Piazza, Antonio', 'rank': 4, 'major': 'N'}]",2018-11-29T12:00:06+0000,258,‘Sicilian Ghost Story’ Review: Fairy-Tale Love Meets Real-Life Crime,Critic’s Pick,None,Love in an Enchanted Forest Turns Eerie,None,None,None,By Jeannette Catsoulis,None
The New Romantic,The New Romantic,0,"Drama, Comedy",en,English,,"In order to escape her looming post-graduation fate that includes student debt and zero romantic prospects, Blake Conway becomes a sugar baby. As the aspiring journalist and hopeless romantic documents the adventure, she sets out on a quest to figure out if society is right to judge these women and if her own self worth comes with a price.",12.869,82,0,2018-10-19,6.3,108,Canada,https://www.nytimes.com/2018/11/08/movies/the-new-romantic-review.html,A college newspaper columnist writes about her experiences trading gifts for sex in a film that squanders its good will.,The New York Times,"[{'name': 'subject', 'value': 'Movies', 'rank': 1, 'major': 'N'}, {'name': 'creative_works', 'value': 'The New Romantic (Movie)', 'rank': 2, 'major': 'N'}, {'name': 'persons', 'value': 'Barden, Jessica (1992- )', 'rank': 3, 'major': 'N'}, {'name': 'persons', 'value': 'Stone, Carly (Film Director)', 'rank': 4, 'major': 'N'}]",2018-11-08T12:05:01+0000,269,‘The New Romantic’ Review: Experiments With Love and Money,None,None,The New Romantic,None,None,None,By Teo Bugbee,None
Pimp,Pimp,0,Drama,en,English,,"An urban love story set on the hard streets of the Bronx. A struggling female pimp, named Wednesday, grows up learning the game from her dad. Once he's gone she's left to look out for her prostitute mother and girlfriend Nikki.",15.059,86,0,2018-11-09,6.3,29,United States of America,https://www.nytimes.com/2018/11/08/movies/pimp-review.html,This lurid melodrama follows a female pimp (Keke Palmer) and her girlfriend-prostitute.,The New York Times,"[{'name': 'subject', 'value': 'Movies', 'rank': 1, 'major': 'N'}, {'name': 'persons', 'value': 'Palmer, Keke', 'rank': 2, 'major': 'N'}, {'name': 'persons', 'value': 'Gathegi, Edi', 'rank': 3, 'major': 'N'}, {'name': 'persons', 'value': 'Crokos, Christine', 'rank': 4, 'major': 'N'}, {'name': 'creative_works', 'value': 'Pimp (Movie)', 'rank': 5, 'major': 'N'}]",2018-11-08T12:00:01+0000,270,‘Pimp’ Review: Blaxploitation and Lesbian Love,None,None,Pimp,None,None,None,By Jeannette Catsoulis,None
